Date	Quantity
01-02-93	60965441,00
01-03-93	60256832,00
01-04-93	59577715,00
01-05-93	59713933,00
01-06-93	59473076,00
01-07-93	60069081,00
01-08-93	59895148,00
01-09-93	59921026,00
01-10-93	60385327,00
01-11-93	60445.99
01-12-93	60837893,00
01-01-94	61138.9
01-02-94	60960.8
01-03-94	60868.7
01-04-94	60411,00
01-05-94	60850.1
01-06-94	61162,00
01-07-94	60766,00
01-08-94	60662,00
01-09-94	61273,00
01-10-94	61769,00
01-11-94	61943,00
01-12-94	62267,00
01-01-95	61842.1
01-02-95	62344.1
01-03-95	61604.1
01-04-95	62401.1
01-05-95	62413,00
01-06-95	61555,00
01-07-95	62506.4
01-08-95	62640.4
01-09-95	63036.4
01-10-95	62672.4
01-11-95	62891.4
01-12-95	63287.4
01-01-96	63237.5
01-02-96	63633.6
01-03-96	63483.5
01-04-96	63338.5
01-05-96	63337.5
01-06-96	63661,00
01-07-96	63737,00
01-08-96	63386,00
01-09-96	63858,00
01-10-96	64223,00
01-11-96	64672,00
01-12-96	65242,00
01-01-97	65180.2
01-02-97	65540.1
01-03-97	65527.2
01-04-97	66048.6
01-05-97	65393.8
01-06-97	64622.2
01-07-97	65068.5
01-08-97	65949.5
01-09-97	66311.9
01-10-97	66828,00
01-11-97	66681,00
01-12-97	66494.9
01-01-98	67710.7
01-02-98	68083.7
01-03-98	67964.7
01-04-98	67829.6
01-05-98	67296.3
01-06-98	67017.6
01-07-98	66879.6
01-08-98	65905.5
01-09-98	65986.6
01-10-98	66101.6
01-11-98	66946.6
01-12-98	66771.7
01-01-99	66986.7
01-02-99	67312.6
01-03-99	66988.7
01-04-99	65545.7
01-05-99	65352.7
01-06-99	64307.9
01-07-99	65819,00
01-08-99	65706,00
01-09-99	65748,00
01-10-99	66254,00
01-11-99	66236,00
01-12-99	65428.2
01-01-00	6644989398,00
01-02-00	6706569292,00
01-03-00	6709894185,00
01-04-00	67757841,00
01-05-00	6827618633,00
01-06-00	6807438502,00
01-07-00	6869511506,00
01-08-00	6952613374,00
01-09-00	6954282359,00
01-10-00	6998033528,00
01-11-00	7053625218,00
01-12-00	6928021152,00
