Date;Quantity
01-07-97;65068.5
01-08-97;65949.5
01-09-97;66311.9
01-10-97;66828
01-11-97;66681
01-12-97;66494.9
01-01-98;67710.7
01-02-98;68083.7
01-03-98;67964.7
01-04-98;67829.6
01-05-98;67296.3
01-06-98;67017.6
01-07-98;66879.6
01-08-98;65905.5
01-09-98;65986.6
01-10-98;66101.6
01-11-98;66946.6
01-12-98;66771.7
01-01-99;66986.7
01-02-99;67312.6
01-03-99;66988.7
01-04-99;65545.7
01-05-99;65352.7
01-06-99;64307.9
01-07-99;65819
01-08-99;65706
01-09-99;65748
01-10-99;66254
01-11-99;66236
01-12-99;65428.2
01-01-00;6.644.989.398
01-02-00;6.706.569.292
01-03-00;6.709.894.185
01-04-00;67.757.841
01-05-00;6.827.618.633
01-06-00;6.807.438.502
01-07-00;6.869.511.506
01-08-00;6.952.613.374
01-09-00;6.954.282.359
01-10-00;6.998.033.528
01-11-00;7.053.625.218
01-12-00;6.928.021.152
01-01-01;6.919.745.217
01-02-01;6.871.872.316
01-03-01;6.938.084.853
01-04-01;684.512.263
01-05-01;6.776.075.575
01-06-01;6.620.698.416
01-07-01;6.814.613.372
01-08-01;6.831.982.976
01-09-01;6.785.278.372
01-10-01;677.500.388
01-11-01;6.810.041.317
01-12-01;6.769.271.756
01-01-02;6.695.716.047
01-02-02;6.702.849.332
01-03-02;6.682.484.506
01-04-02;66.288.446
01-05-02;6.685.948.293
01-06-02;6.670.597.192
01-07-02;6.718.674.967
01-08-02;6.691.473.151
01-09-02;6.746.525.136
01-10-02;6.887.621.022
01-11-02;6.900.641.022
01-12-02;6.735.285.167
01-01-03;6.775.016.942
01-02-03;6.936.813.162
01-03-03;6.988.365.841
01-04-03;6.880.998.629
01-05-03;6.877.277.818
01-06-03;6.797.717.469
01-07-03;6.860.379.734
01-08-03;6.905.890.352
01-09-03;6.966.074.703
01-10-03;7.062.351.456
01-11-03;70.860.664
01-12-03;7.212.732.017
01-01-04;71.910.298
01-02-04;71.885.392
01-03-04;71821.19
01-04-04;71.774.387
01-05-04;71.417.886
01-06-04;72.973.607
01-07-04;73.514.989
01-08-04;72.484.561
01-09-04;73.112.447
01-10-04;73.727.115
01-11-04;73.433.577
01-12-04;73.093.329
01-01-05;73.354.581
01-02-05;73.664.995
01-03-05;73.964.638
01-04-05;74.282.019
01-05-05;74.364.868
01-06-05;73.968.482
01-07-05;73.836.461
01-08-05;73.832.036
01-09-05;73.411.557
01-10-05;73.470.403
01-11-05;74.044.705
01-12-05;74.242.989
01-01-06;73.713.309
01-02-06;73.710.713
01-03-06;73.577.051
01-04-06;73.642.262
01-05-06;73.185.435
01-06-06;73.182.563
01-07-06;74.219.832
01-08-06;73.938.321
01-09-06;73572.09
01-10-06;73907.32
01-11-06;73.472.423
01-12-06;73.393.865
01-01-07;73.032.233
01-02-07;73.344.329
01-03-07;73.339.229
01-04-07;73.546.258
01-05-07;73.003.677
01-06-07;72.612.428
01-07-07;73.204.537
01-08-07;72.584.078
01-09-07;73.238.717
01-10-07;73.965.493
01-11-07;73.699.292
01-12-07;74.309.542
01-01-08;74.663.653
01-02-08;74.752.704
01-03-08;74.978.738
01-04-08;74.407.701
01-05-08;74.726.227
01-06-08;74.733.633
01-07-08;75.487.395
01-08-08;74.393.744
01-09-08;73.394.476
01-10-08;74.394.145
01-11-08;74.226.965
01-12-08;73.458.713
01-01-09;72.370.775
01-02-09;72.783.553
01-03-09;72.620.321
01-04-09;72.914.734
01-05-09;72.499.654
01-06-09;72.637.555
01-07-09;73.594.812
01-08-09;73.051.849
01-09-09;73.501.319
01-10-09;73.952.272
01-11-09;74.051.666
01-12-09;73.751.962
01-01-10;7.394.784.695
01-02-10;7.427.986.295
01-03-10;7.451.976.695
01-04-10;7.426.616.995
01-05-10;7.431.499.895
01-06-10;7.394.959.495
01-07-10;7.420.181.295
01-08-10;7.407.849.195
01-09-10;7.439.256.195
01-10-10;7.472.780.595
01-11-10;7.505.720.595
01-12-10;7.514.602.995
01-01-11;7.592.498.366
01-02-11;7.548.870.266
01-03-11;7.444.512.166
01-04-11;7.429.424.266
01-05-11;7.366.543.066
01-06-11;7.446.210.366
01-07-11;7.488.440.966
01-08-11;7.531.072.266
01-09-11;7.464.710.566
01-10-11;7.517.576.566
01-11-11;7.617.343.166
01-12-11;7.655.379.766
01-01-12;7.673.148.151
01-02-12;7.697.513.151
01-03-12;7.687.795.251
01-04-12;7.721.219.551
01-05-12;7.650.427.851
01-06-12;7.631.081.551
01-07-12;7.652.111.351
01-08-12;7.650.660.651
01-09-12;7.595.506.151
01-10-12;7.655.614.651
01-11-12;7.708.947.151
01-12-12;7.697.486.351
01-01-13;7.637.700.877
01-02-13;7.616.168.277
01-03-13;7.637.808.277
01-04-13;7.674.594.477
01-05-13;7.662.092.777
01-06-13;7.671.179.677
01-07-13;7.723.163.377
01-08-13;7.699.822.677
01-09-13;7.652.641.677
01-10-13;7.679.419.677
01-11-13;7.710.252.277
01-12-13;7.750.700.977
01-01-14;7.772.405.641
01-02-14;7.824.640.741
01-03-14;7.757.933.341
01-04-14;7.738.034.441
01-05-14;7.761.254.641
01-06-14;7.788.437.841
01-07-14;7.816.623.841
01-08-14;7.845.368.441
01-09-14;7.919.494.641
01-10-14;8.019.507.941
01-11-14;8.000.289.541
01-12-14;8.086.800.741
01-01-15;8.013.192.719
01-02-15;8.003.209.019
01-03-15;8.094.832.319
01-04-15;8.057.817.719
01-05-15;8.048.814.719
01-06-15;8.094.297.719
01-07-15;8.145.773.019
01-08-15;8.119.601.119
01-09-15;8.108.848.619
01-10-15;8.103.908.019
01-11-15;8.171.278.119
01-12-15;8.189.389.919
01-01-16;81.838.853
01-02-16;81.094.286
01-03-16;80.979.948
01-04-16;80.204.962
01-05-16;79.413.009
01-06-16;80.126.071
01-07-16;80.884.465
01-08-16;80.314.991
01-09-16;80.674.691
01-10-16;81.832.065
01-11-16;82.831.178
01-12-16;82.279.631
01-01-17;81.326.842
01-02-17;8.112.135.227
01-03-17;8.064.633.597
01-04-17;8.020.341.372
01-05-17;808.010.265
01-06-17;8.133.345.852
01-07-17;817.260.848
01-08-17;8.121.646.901
01-09-17;8.136.564.332
01-10-17;8.154.233.544
01-11-17;8.212.040.848
01-12-17;8.163.598.314
01-01-18;8.222.889.059
01-02-18;8.235.537.293
01-03-18;8.234.720.719
01-04-18;820.871.138
01-05-18;8.189.071.951
01-06-18;8.230.342.506
01-07-18;8.284.275.642
01-08-18;8.333.781.582
01-09-18;8.330.561.947
01-10-18;8.430.240.971
01-11-18;8.458.599.658
01-12-18;84.194.832
01-01-19;8.255.128.011
01-02-19;8.235.328.402
01-03-19;8.226.676.355
01-04-19;8.210.326.804
01-05-19;8.157.800.305
01-06-19;8.171.697.261
01-07-19;8.125.383.385
01-08-19;8.231.977.019
01-09-19;8.064.807.477
01-10-19;82.480.641
01-11-19;8.341.035.949
01-12-19;8.335.056.135
01-01-20;8.303.227.198
01-02-20;8.212.332.564
01-03-20;8.232.410.126
01-04-20;8.258.694.348
01-05-20;7.138.791.427
01-06-20;7.028.672.093
01-07-20;7.162.686.109
01-08-20;727.398.443
01-09-20;7.263.571.886
01-10-20;7.315.002.157
01-11-20;7.501.423.506
01-12-20;7.552.330.249
01-01-21;7.610.964.101
01-02-21;7.405.504.018
01-03-21;7.604.334.547
01-04-21;7.548.957.005
01-05-21;7.596.372.419
01-06-21;7.661.141.697
01-07-21;7.773.898.163
01-08-21;7.738.230.881
01-09-21;7.772.586.406
01-10-21;7.904.333.668
01-11-21;7.988.877.838
01-12-21;7.956.237.153
01-01-22;7.964.647.088
01-02-22;8.064.485.535
01-03-22;8.054.728.012
01-04-22;7.956.816.764
01-05-22;790.197.179
01-06-22;7.931.463.045
01-07-22;8.030.498.818
01-08-22;8.136.371.297
01-09-22;8.172.335.439
01-10-22;8.182.861.094
01-11-22;819.266.254
01-12-22;8.178.806.763
01-01-23;82.091.213
